,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
0,Bronson Reed,victory,"Akira Tozawa, Angel, Apollo Crews, Ashante ""Thee"" Adonis, Berto, Brutus Creed, Cameron Grimes, Cedric Alexander, Cruz Del Toro, Elton Prince, Ivar, JD McDonagh, Jinder Mahal, Joaquin Wilde, Julius Creed, Karl Anderson, Kit Wilson, Luke Gallows, Omos, Otis, Ricochet, Sanga, Veer",Battle Royal/Andre The Giant Memorial,No Title Match,-,609,2024-04-05,2024-04-01,No Title Match
1,Elektra Lopez,pinfall,Zelina Vega,Single Match,No Title Match,-,158,2024-04-05,2024-04-01,No Title Match
2,Pete Dunne & Tyler Bate,pinfall,Austin Theory & Grayson Waller,Tag Team,No Title Match,-,447,2024-04-05,2024-04-01,No Title Match
3,Jey Uso,DQ,Solo Sikoa,Single Match,No Title Match,-,394,2024-04-05,2024-04-01,No Title Match
4,Chelsea Green,pinfall,Natalya,Single Match,No Title Match,-,307,2024-04-01,2024-04-01,No Title Match
5,Jinder Mahal,pinfall,Akira Tozawa,Single Match,No Title Match,-,416,2024-04-01,2024-04-01,No Title Match
6,Damian Priest & Dominik Mysterio & Finn Bálor & JD McDonagh,pinfall,Johnny Gargano & Kofi Kingston & Tommaso Ciampa & Xavier Woods,Tag Team,No Title Match,-,293,2024-04-01,2024-04-01,No Title Match
7,Sami Zayn,DQ,Bronson Reed,Single Match,No Title Match,-,720,2024-04-01,2024-04-01,No Title Match
8,Ivy Nile & Maxxine Dupri,pinfall,Candice LeRae & Indi Hartwell,Tag Team,No Title Match,-,215,2024-04-01,2024-04-01,No Title Match
9,Ricochet,pinfall,Ivar,Single Match,No Title Match,****,605,2024-04-01,2024-04-01,No Title Match
10,Asuka & Dakota Kai & Kairi Sane,pinfall,Shayna Baszler & Tegan Nox & Zoey Stark,Tag Team,No Title Match,-,537,2024-04-01,2024-04-01,No Title Match
11,Seth Rollins,draw (NC),Solo Sikoa,Single Match,No Title Match,-,900,2024-04-01,2024-04-01,No Title Match
12,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-03-31,2024-03-01,No Title Match
13,Gunther (c),victory,"Dominik Mysterio, Jey Uso, Shinsuke Nakamura",Fatal Fourway,WWE Intercontinental Championship,-,1012,2024-03-31,2024-03-01,still champion
14,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Womens Championship,-,346,2024-03-31,2024-03-01,still champion
15,Pete Dunne & Tyler Bate,victory,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,550,2024-03-31,2024-03-01,No Title Match
16,Rhea Ripley (c),victory,"Natalya, Shayna Baszler",Triple Threat,WWE Women's World Title,-,865,2024-03-31,2024-03-01,still champion
17,Omos,victory,Odyssey Jones,Single Match,No Title Match,-,550,2024-03-31,2024-03-01,No Title Match
18,Bianca BelAir & Michin & Zelina Vega,victory,Dakota Kai & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-03-31,2024-03-01,No Title Match
19,Cody Rhodes,victory,Drew McIntyre,Single Match,No Title Match,-,550,2024-03-31,2024-03-01,No Title Match
20,L.A. Knight,victory,Solo Sikoa,Single Match,No Title Match,-,550,2024-03-30,2024-03-01,No Title Match
21,Damian Priest (c) & Finn Bálor (c),victory,Kofi Kingston & Xavier Woods,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1065,2024-03-30,2024-03-01,still champion
22,Omos,victory,Odyssey Jones,Single Match,No Title Match,-,550,2024-03-30,2024-03-01,No Title Match
23,Gunther (c),victory,"Dominik Mysterio, Jey Uso, Shinsuke Nakamura",Fatal Fourway,WWE Intercontinental Championship,-,1012,2024-03-30,2024-03-01,still champion
24,Bianca BelAir & Michin & Zelina Vega,victory,Dakota Kai & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2024-03-30,2024-03-01,No Title Match
25,Pete Dunne & Tyler Bate,victory,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,550,2024-03-30,2024-03-01,No Title Match
26,Rhea Ripley (c),victory,"Natalya, Shayna Baszler",Triple Threat,WWE Women's World Title,-,865,2024-03-30,2024-03-01,still champion
27,Cody Rhodes,victory,Drew McIntyre,Single Match,No Title Match,-,550,2024-03-30,2024-03-01,No Title Match
28,Bronson Reed,victory,Cedric Alexander,Single Match,No Title Match,-,550,2024-03-29,2024-03-01,No Title Match
29,Ricochet,victory,Dragon Lee,Single Match,No Title Match,-,550,2024-03-29,2024-03-01,No Title Match
30,Elton Prince & Kit Wilson,pinfall,Kevin Owens & Randy Orton,Tag Team,No Title Match,-,419,2024-03-29,2024-03-01,No Title Match
31,Austin Theory & Grayson Waller,pinfall,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,381,2024-03-29,2024-03-01,No Title Match
32,Pete Dunne & Tyler Bate,pinfall,Angel & Berto,Tag Team,No Title Match,-,439,2024-03-29,2024-03-01,No Title Match
33,Bianca BelAir,pinfall,Dakota Kai,Single Match,No Title Match,-,566,2024-03-29,2024-03-01,No Title Match
34,Rhea Ripley (c),victory,Shayna Baszler,Single Match,WWE Women's World Title,-,865,2024-03-29,2024-03-01,still champion
35,Sami Zayn,victory,Finn Bálor,Single Match,No Title Match,-,550,2024-03-29,2024-03-01,No Title Match
36,Shayna Baszler,victory,Katana Chance,Single Match,No Title Match,-,550,2024-03-25,2024-03-01,No Title Match
37,Hank Walker & Tank Ledger,victory,Edris Enofé & Malik Blade,Tag Team,No Title Match,-,550,2024-03-25,2024-03-01,No Title Match
