,card_date_week,Title Match,Champion Status,Match Type,Wrestler,Number of Wins,Number of Single Wins,Number of Triple Threat Wins,Number of Fata Fourway Wins,Number of Tag Team Wins,Number of Single Title Wins,Number of Tag Team Title Wins,Number of Single Title Defenses,Number of Tag Team Title Defenses,Royal Rumble Win,Money in the Bank Win,Number of Losses,Number of Single Losses,Number of Triple Threat Losses,Number of Fata Fourway Losses,Number of Tag Team Losses,Number of Single Title Losses,Number of Tag Team Title Losses,Overall Number of Matches,Date_Month,Positive Count,Neutral Count,Negative Count
0,2023-02-27,No Title Match,No Title Match,6 Tag Team,Asuka,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2023-03-01,1,0,0
1,2023-02-27,No Title Match,No Title Match,6 Tag Team,Braun Strowman,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
2,2023-02-27,No Title Match,No Title Match,6 Tag Team,Candice LeRae,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
3,2023-02-27,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,3,0,0
4,2023-02-27,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,3
5,2023-02-27,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
6,2023-02-27,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
7,2023-02-27,No Title Match,No Title Match,6 Tag Team,Mia Yim,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
8,2023-02-27,No Title Match,No Title Match,6 Tag Team,Ricochet,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
9,2023-02-27,No Title Match,No Title Match,6 Tag Team,Sami Zayn,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
10,2023-02-27,No Title Match,No Title Match,6 Tag Team,Sami Zayn,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
11,2023-02-27,No Title Match,No Title Match,6 Tag Team,Sami Zayn,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
12,2023-02-27,No Title Match,No Title Match,6 Tag Team,Sami Zayn,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
13,2023-02-27,No Title Match,No Title Match,6 Tag Team,Sami Zayn,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
14,2023-02-27,No Title Match,No Title Match,Single Match,Bronson Reed,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
15,2023-02-27,No Title Match,No Title Match,Single Match,Cody Rhodes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2023-03-01,0,0,2
16,2023-02-27,No Title Match,No Title Match,Single Match,Cody Rhodes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2023-03-01,0,0,1
17,2023-02-27,No Title Match,No Title Match,Single Match,Cody Rhodes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2023-03-01,1,0,0
18,2023-02-27,No Title Match,No Title Match,Single Match,Dolph Ziggler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
19,2023-02-27,No Title Match,No Title Match,Single Match,Dominik Mysterio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
20,2023-02-27,No Title Match,No Title Match,Single Match,Drew McIntyre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,3,0,0
21,2023-02-27,No Title Match,No Title Match,Single Match,Drew McIntyre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,3
22,2023-02-27,No Title Match,No Title Match,Single Match,Drew McIntyre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
23,2023-02-27,No Title Match,No Title Match,Single Match,Drew McIntyre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
24,2023-02-27,No Title Match,No Title Match,Single Match,Johnny Gargano,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,No Comment,0,0,0
25,2023-02-27,No Title Match,No Title Match,Single Match,Kevin Owens,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
26,2023-02-27,No Title Match,No Title Match,Single Match,Rhea Ripley,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,No Comment,0,0,0
27,2023-02-27,No Title Match,No Title Match,Single Match,Ridge Holland,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
28,2023-02-27,No Title Match,No Title Match,Single Match,Santos Escobar,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,No Comment,0,0,0
29,2023-02-27,No Title Match,No Title Match,Single Match,Shayna Baszler,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No Comment,0,0,0
30,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,16,0,0
31,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,6,0
32,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,0,5
33,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,2,0
34,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,2,0,0
35,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,1,0,0
36,2023-02-27,No Title Match,No Title Match,Single Match,Solo Sikoa,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,1,0
37,2023-02-27,No Title Match,No Title Match,Tag Team,Candice LeRae,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
38,2023-02-27,No Title Match,No Title Match,Tag Team,Karl Anderson,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
39,2023-02-27,No Title Match,No Title Match,Tag Team,Luke Gallows,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
40,2023-02-27,No Title Match,No Title Match,Tag Team,Mia Yim,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
41,2023-02-27,WWE Intercontinental Championship,still champion,Single Match,Gunther,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,2,0
42,2023-02-27,WWE Intercontinental Championship,still champion,Single Match,Gunther,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,1,0,0
43,2023-02-27,WWE Intercontinental Championship,still champion,Single Match,Gunther,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2023-03-01,0,0,1
44,2023-02-27,WWE Intercontinental Championship,still champion,Single Match,Ricochet,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,No Comment,0,0,0
45,2023-02-27,WWE Smackdown Women's Title,still champion,Single Match,Charlotte Flair,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,No Comment,0,0,0
